gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDB_G0279891	12.25385	-2.454083	1.74671219	1.781683e-05	0.002993864
DDB_G0279893	0.9883961	0.006755169	0.39289745	0.9198653	NA
DDB_G0279895	13.23491	-0.1104966	0.51038749	0.04117732	0.2689565
DDB_G0279897	29.39053	-4.272109	0.84356683	5.28521e-10	5.401004e-07
DDB_G0279899	220.2314	0.06261472	0.29215926	0.6425678	0.8268344
DDB_G0279901	20.10259	-0.1042323	0.27852326	0.4545315	0.7083583
DDB_G0279903	381.9681	0.08257557	0.18963124	0.4528169	0.7073533
DDB_G0279905	674.2261	-0.1299766	0.30578692	0.3618362	0.640028
DDB_G0279907	878.0781	-0.1323017	0.29497722	0.3561567	0.6351829
DDB_G0279909	5449.78	0.1338025	0.25990626	0.3363174	0.6196206
DDB_G0279911	2364.981	-0.8168425	0.20310856	5.08818e-06	0.00105919
DDB_G0279913	839.9498	0.02946409	0.12297773	0.6884813	0.8510246
DDB_G0279915	673.8099	-0.04961219	0.1876755	0.6518248	0.8310267
DDB_G0279917	120.3798	-0.01052863	0.1883567	0.9243281	0.9699749
DDB_G0279919	353.1868	-0.07098891	0.19638769	0.5324423	0.7585742
DDB_G0279921	65.40422	0.2047552	0.32029945	0.1859509	0.4804122
DDB_G0279923	356.8376	-0.1434301	0.27646342	0.3170509	0.6052936
DDB_G0279925	2670.878	-0.1268606	0.23641157	0.334689	0.6183825
DDB_G0279927	1210.767	-0.1222859	0.25188815	0.3694625	0.645999
DDB_G0279929	51.53825	0.03322177	0.41765976	0.4669076	0.7143637
DDB_G0279931	49.96799	-0.009893598	0.21000449	0.9342308	0.9756307
DDB_G0279933	463.1098	0.2404535	0.21343704	0.06594291	0.3256938
DDB_G0279935	13.06297	0.0467231	0.28756416	0.7273568	0.8716446
DDB_G0279937	560.6566	-0.2430213	0.27648157	0.1158873	0.4042856
DDB_G0279939	217.0597	0.1614238	0.25054439	0.2437958	0.5384917
DDB_G0279941	1962.174	0.08918533	0.22273876	0.4763089	0.7208384
DDB_G0279943	2943.185	0.1683545	0.29271683	0.2564221	0.5502942
DDB_G0279945	319.7589	0.000375188	0.18254111	0.9972321	0.9982978
DDB_G0279949	185.2061	-0.06852516	0.35296268	0.5464228	0.7686619
DDB_G0279951	5797.389	-0.08205499	0.33602058	0.5137284	0.7469695
DDB_G0279953	1566.435	-0.2533722	0.41515506	0.0800246	0.3519818
DDB_G0279955	115.5473	0.1326185	0.23170225	0.3073586	0.5993093
DDB_G0279957	253.6146	-0.3461095	0.39330031	0.04919359	0.289521
DDB_G0279959	1774.554	-0.05646504	0.23112313	0.6576775	0.8341221
DDB_G0279961	59.30144	0.3827424	0.38801149	0.03794444	0.260558
DDB_G0279963	92.63687	0.1435302	0.24035123	0.283257	0.576515
DDB_G0279965	1434.651	0.1460392	0.17609365	0.1527942	0.4473975
