gene_id	WT1_vegetativ	WT2_vegetativ	WT3_vegetativ	D1_vegetativ	D2_vegetativ	D3_vegetativ
DDB_G0289573	8.88911547	8.95071197	8.88561715	9.39253165	8.31600069	8.97230103
DDB_G0289575	7.32349407	7.06207818	7.11161821	8.12923948	7.9491926	8.32055726
DDB_G0289577	5.62061751	5.71389267	5.63434117	5.95490074	5.73707542	5.82598355
DDB_G0289579	5.71370344	5.49877869	5.53749911	5.20249694	5.20249694	5.5160544
DDB_G0289581	6.07902811	6.03056788	6.03582924	6.58089366	6.18900111	6.16154979
DDB_G0289583	11.22486932	11.2436459	11.20331428	11.41820284	11.60662978	11.30760669
DDB_G0289585	9.65643308	9.46674409	9.75572682	9.7797794	9.66568983	10.07676745
DDB_G0289587	9.29691189	9.40821475	9.19115976	9.62103824	9.95902417	9.40674251
DDB_G0289591	6.0302665	5.86045107	5.94504523	6.32959511	5.90671814	6.16154979
DDB_G0289593	14.77924861	14.62312941	14.52151823	13.43585348	14.50021703	13.95749959
DDB_G0289595	8.95434401	9.09405578	9.144276	8.93927949	9.12822717	9.67735492
DDB_G0289599	14.08692629	13.89428823	13.98293494	14.36390355	14.02223636	13.92639147
DDB_G0289601	10.03233861	10.07984462	10.18082125	9.74037647	9.7793998	9.72684927
DDB_G0289603	6.65341055	6.94766368	6.69755144	7.50154413	6.81708108	6.92186014
DDB_G0289605	5.4986683	5.20249694	5.67520921	5.86409041	5.73707542	5.60677107
DDB_G0289607	6.39182322	6.39224445	6.22487481	6.27433543	6.28528119	6.55720738
DDB_G0289609	6.32318848	6.07934623	6.11678443	7.05287853	6.88812493	7.49836734
DDB_G0289611	10.99973584	10.92876112	11.15994991	11.89082706	11.38520987	11.25324361
DDB_G0289613	9.51893633	9.52909377	9.7082722	10.20512734	9.65426669	9.6875952
DDB_G0289615	7.11491104	7.21607994	7.03464589	7.57784329	7.28268475	7.14442018
DDB_G0289617	6.16837209	6.2872941	6.9180734	6.79550325	6.28528119	6.28058332
DDB_G0289619	5.62061751	5.62077281	5.71270866	5.62311022	5.58157579	5.74348873
