gene_id	WT1_aggregat	WT2_aggregat	WT3_aggregat	D1_aggregat	D2_aggregat	D3_aggregat
DDB_G0276695	9.09297707	9.13244068	8.98294296	9.62099708	9.15941035	9.37963227
DDB_G0276697	8.84361143	8.55853955	8.86066972	6.51862236	7.17791766	6.93558364
DDB_G0276699	5.56494386	5.56494386	5.78774359	5.82414251	5.56494386	5.56494386
DDB_G0276705	6.57111701	6.35128313	6.56670867	5.56494386	6.02520936	5.99236099
DDB_G0276709	9.17812439	9.04446976	9.10000327	8.88089118	9.65644282	9.34893461
DDB_G0276711	9.20048861	9.19502212	9.24109307	9.59254299	9.5956044	9.54032288
DDB_G0276713	12.05584842	12.07570909	12.10337545	12.0457149	11.95349482	11.91058842
DDB_G0276715	5.56494386	5.56494386	5.72256525	5.56494386	5.7535101	5.99236099
DDB_G0276719	7.89542936	7.68128191	7.6821163	7.53319523	7.63836511	7.799195
DDB_G0276721	12.18279561	12.25872867	12.32123774	12.95222746	12.45842675	12.34366507
DDB_G0276723	5.56494386	5.86530204	5.78774359	5.56494386	5.56494386	5.56494386
DDB_G0276729	7.607839	7.24801677	7.73957622	5.56494386	6.4923934	6.21471874
DDB_G0276731	6.25346311	6.35128313	6.28026529	5.82414251	6.21315533	5.91435159
DDB_G0276733	6.33974588	6.29420856	6.29675056	6.1956676	6.43670428	6.89619278
DDB_G0276735	6.18878841	5.77752058	6.10801988	5.56494386	5.89108776	6.05788816
DDB_G0276739	6.25346311	6.12436656	6.3285666	5.82414251	6.12747503	5.56494386
DDB_G0276745	6.50842118	6.32333148	6.29675056	5.56494386	6.47425725	6.67252272
DDB_G0276747	7.762997	7.02173392	7.43782311	6.01269398	6.89147792	6.21471874
DDB_G0276755	6.33974588	6.35128313	6.15096532	6.41348144	6.60943369	6.76813446
DDB_G0276757	5.77433213	5.86530204	5.91669939	5.56494386	5.7535101	5.81231358
DDB_G0276759	13.99055817	13.76395694	13.98190336	12.25466306	13.20659111	12.12541015
DDB_G0276761	11.94944573	11.91110377	11.95586795	6.64099384	9.24717409	6.76813446
DDB_G0276763	7.46685311	7.51853298	7.49254602	7.94520741	7.67512705	7.799195
DDB_G0276765	15.67379157	15.92694438	15.8340665	15.8981605	15.79751887	15.74603538
DDB_G0276767	11.48427549	11.46744413	11.57481197	11.45339355	11.61834491	11.35866876
DDB_G0276769	10.77529162	10.93227335	10.80598481	10.95211958	10.52708208	10.19379563
DDB_G0276771	5.92698267	6.1624658	6.08515214	6.1956676	6.09567173	6.11541198
DDB_G0276773	6.18878841	5.98895432	6.20977578	5.82414251	6.06174022	6.1672327
DDB_G0276775	5.77433213	5.56494386	5.56494386	5.82414251	5.83142766	5.99236099
DDB_G0276777	7.69875668	7.94992505	7.81372932	8.01771273	7.52130194	7.65950779
DDB_G0276779	8.39118256	8.41976212	8.39370461	8.77264337	8.59280459	8.62918107
DDB_G0276781	9.94022293	10.03631503	9.91794151	10.58686879	10.3037434	10.11598845
DDB_G0276783	7.32769763	7.48332624	7.51665178	8.28155126	7.8501285	7.77049204
DDB_G0276785	7.14778092	7.15809717	7.15898478	6.99647546	7.25653457	7.08020964
DDB_G0276787	6.50842118	6.62579519	6.48237203	6.55086886	6.57758304	6.7215199
DDB_G0276789	8.67185777	8.78364459	8.69922911	9.09581933	8.82712618	9.43620045
DDB_G0276791	11.18382833	11.01216473	11.16683618	10.65705692	11.16167326	10.6897444
DDB_G0276793	8.54052908	8.62498687	8.74809636	7.38425207	7.28986884	7.73121813
DDB_G0276795	8.29601324	8.52204028	8.40847775	8.77774815	8.44380459	8.90463377
DDB_G0276797	9.65307112	9.67383206	9.668282	9.33503987	9.45223227	9.55113848
DDB_G0276799	7.79737031	7.87291704	7.84374514	7.50739972	7.66907218	7.3908041
DDB_G0276801	9.54877904	9.35644755	9.46769289	7.97285712	8.95865287	8.78521371
DDB_G0276803	10.99892913	11.05190948	10.96230578	11.42472568	11.14834563	11.77757421
DDB_G0276805	8.53658958	8.60576873	8.47541467	8.61592217	8.49086045	8.74305017
DDB_G0276807	8.5869568	8.4632948	8.62991938	8.26693011	8.51705268	8.0720817
DDB_G0276809	7.83746883	7.65814569	7.59533947	6.77399612	7.81259875	7.73121813
DDB_G0276811	8.89651024	8.85024781	8.70913931	8.6774433	8.59893588	8.74305017
DDB_G0276813	5.86080485	6.0833264	5.95008323	6.14146574	5.98540139	6.11541198
DDB_G0276815	9.27727767	9.57565621	9.64392467	10.54749489	9.88802521	9.6169453
DDB_G0276817	9.03877535	8.53838004	8.98131504	7.12877243	7.57466015	6.44426687
DDB_G0276819	5.56494386	5.56494386	5.91669939	5.93101645	5.94127695	5.56494386
DDB_G0276821	15.29585615	15.29579101	15.38800365	15.10657426	14.85821387	14.54388847
DDB_G0276823	7.10109491	7.03483689	7.26323009	7.65486971	7.47975099	7.3908041
